avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.0,6.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
-0.24,0.24,4.03,0.9900493386913721,0.38,-25,25,0.0,0.0,0.0005,0.38613861386138615
-0.16,0.16,4.36,0.980197693043223,0.42,-41,41,0.0,0.0,0.0005,0.40298507462686567
-0.32,0.32,4.03,0.970444077784251,0.34,-71,71,0.0,0.0,0.0005,0.38205980066445183
-0.18,0.18,4.28,0.9607875174472562,0.41,-89,89,0.0,0.0,0.0005,0.38902743142144636
-0.46,0.46,3.84,0.9512270462715811,0.27,-135,135,0.0,0.0,0.0005,0.3652694610778443
-0.48,0.48,3.89,0.9417617081065252,0.26,-183,183,0.0,0.0,0.0005,0.34775374376039936
-0.32,0.32,3.96,0.9323905563157222,0.34,-215,215,0.0,0.0,0.0005,0.3466476462196862
-0.2,0.2,4.26,0.9231126536824614,0.4,-235,235,0.0,0.0,0.0005,0.3533083645443196
-0.32,0.32,4.32,0.9139270723159584,0.34,-269,269,0.0,0.0,0.0005,0.3518312985571587
-0.38,0.38,4.41,0.9048328935585562,0.31,-305,305,0.0,0.0,0.0005,0.34765234765234765
-0.32,0.32,4.36,0.8958292078938495,0.34,-338,338,0.0,0.0,0.0005,0.3469573115349682
-0.3,0.3,4.61,0.886915114855721,0.35,-366,366,0.0,0.0,0.0005,0.347210657785179
-0.46,0.46,3.95,0.8780897229382887,0.27,-414,414,0.0,0.0,0.0005,0.3412759415833974
-0.48,0.48,4.29,0.8693521495067424,0.26,-462,462,0.0,0.0,0.0005,0.33547466095645967
-0.46,0.46,4.18,0.8607015207090729,0.27,-506,506,0.0,0.0,0.0005,0.33111259160559625
-0.44,0.44,4.45,0.8521369713886755,0.28,-552,552,0.0,0.0,0.0005,0.3279200499687695
-0.48,0.48,4.11,0.843657644997827,0.26,-598,598,0.0,0.0,0.0005,0.3239271017048795
