avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.0,6.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
-0.2,0.2,4.06,0.9900493386913721,0.4,-19,19,0.0,0.0,0.0005,0.40594059405940597
-0.1,0.1,4.48,0.980197693043223,0.45,-31,31,0.0,0.0,0.0005,0.42786069651741293
-0.36,0.36,3.95,0.970444077784251,0.32,-65,65,0.0,0.0,0.0005,0.3920265780730897
-0.18,0.18,4.28,0.9607875174472562,0.41,-83,83,0.0,0.0,0.0005,0.39650872817955113
-0.46,0.46,3.87,0.9512270462715811,0.27,-129,129,0.0,0.0,0.0005,0.3712574850299401
-0.48,0.48,3.88,0.9417617081065252,0.26,-177,177,0.0,0.0,0.0005,0.3527454242928453
-0.34,0.34,3.87,0.9323905563157222,0.33,-211,211,0.0,0.0,0.0005,0.34950071326676174
-0.18,0.18,4.38,0.9231126536824614,0.41,-229,229,0.0,0.0,0.0005,0.3570536828963795
-0.3,0.3,4.33,0.9139270723159584,0.35,-261,261,0.0,0.0,0.0005,0.3562708102108768
-0.4,0.4,4.37,0.9048328935585562,0.3,-299,299,0.0,0.0,0.0005,0.35064935064935066
-0.34,0.34,4.18,0.8958292078938495,0.33,-334,334,0.0,0.0,0.0005,0.34877384196185285
-0.3,0.3,4.67,0.886915114855721,0.35,-364,364,0.0,0.0,0.0005,0.3488759367194005
-0.4,0.4,4.08,0.8780897229382887,0.3,-402,402,0.0,0.0,0.0005,0.345119139123751
-0.6,0.6,4.06,0.8693521495067424,0.2,-462,462,0.0,0.0,0.0005,0.33476088508208424
-0.42,0.42,4.35,0.8607015207090729,0.29,-504,504,0.0,0.0,0.0005,0.3317788141239174
-0.44,0.44,4.32,0.8521369713886755,0.28,-548,548,0.0,0.0,0.0005,0.32854465958775764
-0.48,0.48,4.18,0.843657644997827,0.26,-596,596,0.0,0.0,0.0005,0.32451499118165783
-0.54,0.54,4.44,0.8352626935120188,0.23,-650,650,0.0,0.0,0.0005,0.3192670738478623
-0.48,0.48,4.71,0.8269512773451482,0.26,-700,700,0.0,0.0,0.0005,0.3161493950552341
-0.62,0.62,3.95,0.8187225652655491,0.19,-760,760,0.0,0.0,0.0005,0.3098450774612694
-0.34,0.34,4.44,0.8105757343128605,0.33,-795,795,0.0,0.0,0.0005,0.3108043788672061
-0.36,0.36,4.38,0.8025099697157205,0.32,-829,829,0.0,0.0,0.0005,0.3112221717401181
-0.34,0.34,4.91,0.7945244648102819,0.33,-863,863,0.0,0.0,0.0005,0.31203824424163407
-0.38,0.38,4.75,0.7866184209595359,0.31,-903,903,0.0,0.0,0.0005,0.3119533527696793
-0.54,0.54,4.15,0.7787910474734399,0.23,-955,955,0.0,0.0,0.0005,0.3086765293882447
-0.5,0.5,4.61,0.7710415615298397,0.25,-1007,1007,0.0,0.0,0.0005,0.3064206074586697
-0.66,0.66,4.41,0.7633691880961806,0.17,-1071,1071,0.0,0.0,0.0005,0.3013698630136986
-0.68,0.68,4.2,0.7557731598519929,0.16,-1139,1139,0.0,0.0,0.0005,0.29632274187790075
-0.46,0.46,4.76,0.748252717112154,0.27,-1185,1185,0.0,0.0,0.0005,0.29541537400896245
-0.66,0.66,4.28,0.74080710775091,0.17,-1251,1251,0.0,0.0,0.0005,0.2912362545818061
-0.42,0.42,4.69,0.7334355871266565,0.29,-1294,1294,0.0,0.0,0.0005,0.291196388261851
-0.48,0.48,4.85,0.7261374180074647,0.26,-1342,1342,0.0,0.0,0.0005,0.2902218056857232
-0.54,0.54,5.07,0.7189118704973512,0.23,-1394,1394,0.0,0.0,0.0005,0.28839745531657074
-0.54,0.54,4.65,0.7117582219632792,0.23,-1448,1448,0.0,0.0,0.0005,0.28668038812114083
