avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.0,6.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
-0.42,0.42,4.07,0.9900493386913721,0.29,-41,41,0.0,0.0,0.0005,0.297029702970297
-0.58,0.58,3.69,0.980197693043223,0.21,-99,99,0.0,0.0,0.0005,0.2537313432835821
-0.38,0.38,3.85,0.970444077784251,0.31,-137,137,0.0,0.0,0.0005,0.2724252491694352
-0.38,0.38,4.54,0.9607875174472562,0.31,-175,175,0.0,0.0,0.0005,0.2817955112219451
-0.48,0.48,4.03,0.9512270462715811,0.26,-225,225,0.0,0.0,0.0005,0.2774451097804391
-0.36,0.36,4.88,0.9417617081065252,0.32,-259,259,0.0,0.0,0.0005,0.28452579034941766
-0.4,0.4,4.64,0.9323905563157222,0.3,-301,301,0.0,0.0,0.0005,0.2867332382310984
-0.18,0.18,4.74,0.9231126536824614,0.41,-317,317,0.0,0.0,0.0005,0.3021223470661673
-0.52,0.52,4.01,0.9139270723159584,0.24,-371,371,0.0,0.0,0.0005,0.2952275249722531
-0.28,0.28,4.5,0.9048328935585562,0.36,-399,399,0.0,0.0,0.0005,0.3016983016983017
-0.32,0.32,4.77,0.8958292078938495,0.34,-430,430,0.0,0.0,0.0005,0.30517711171662126
-0.44,0.44,4.41,0.886915114855721,0.28,-476,476,0.0,0.0,0.0005,0.30308076602830974
-0.38,0.38,4.24,0.8780897229382887,0.31,-512,512,0.0,0.0,0.0005,0.30361260568793236
-0.42,0.42,4.37,0.8693521495067424,0.29,-554,554,0.0,0.0,0.0005,0.30264097073518914
-0.46,0.46,4.4,0.8607015207090729,0.27,-600,600,0.0,0.0,0.0005,0.30046635576282477
-0.58,0.58,4.29,0.8521369713886755,0.21,-658,658,0.0,0.0,0.0005,0.2948157401623985
-0.58,0.58,4.1,0.843657644997827,0.21,-716,716,0.0,0.0,0.0005,0.2898295120517343
-0.46,0.46,4.66,0.8352626935120188,0.27,-762,762,0.0,0.0,0.0005,0.2887284841754581
-0.64,0.64,4.39,0.8269512773451482,0.18,-828,828,0.0,0.0,0.0005,0.28300894266175697
-0.6,0.6,4.09,0.8187225652655491,0.2,-886,886,0.0,0.0,0.0005,0.27886056971514245
-0.46,0.46,4.48,0.8105757343128605,0.27,-933,933,0.0,0.0,0.0005,0.27843883864826274
-0.54,0.54,4.24,0.8025099697157205,0.23,-985,985,0.0,0.0,0.0005,0.27623807360290775
-0.5,0.5,4.67,0.7945244648102819,0.25,-1035,1035,0.0,0.0,0.0005,0.27509778357235987
-0.62,0.62,4.3,0.7866184209595359,0.19,-1097,1097,0.0,0.0,0.0005,0.27155351936693045
-0.62,0.62,4.76,0.7787910474734399,0.19,-1159,1159,0.0,0.0,0.0005,0.2682926829268293
-0.48,0.48,4.84,0.7710415615298397,0.26,-1209,1209,0.0,0.0,0.0005,0.2679738562091503
-0.6,0.6,4.45,0.7633691880961806,0.2,-1267,1267,0.0,0.0,0.0005,0.2654572380599778
-0.62,0.62,4.42,0.7557731598519929,0.19,-1329,1329,0.0,0.0,0.0005,0.26276329882184934
-0.68,0.68,4.39,0.748252717112154,0.16,-1397,1397,0.0,0.0,0.0005,0.2592209582902447
-0.58,0.58,4.75,0.74080710775091,0.21,-1457,1457,0.0,0.0,0.0005,0.2575808063978674
